# n=11
# target=22
# R=2000
# T=30.0
# seed=12610472855124074866
# timestamp=2026-02-02T14:06:35Z
#
# Grid (0/1):
0 0 0 0 0 1 1 0 0 0 0
0 1 0 1 0 0 0 0 0 0 0
0 0 0 1 0 0 1 0 0 0 0
0 1 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 1 0 1
0 0 1 0 0 0 0 0 1 0 0
1 0 1 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 1 0
0 0 0 0 1 0 0 1 0 0 0
0 0 0 0 0 0 0 1 0 1 0
0 0 0 0 1 1 0 0 0 0 0
#
# Coordinates (row, col):
(1, 6)
(1, 7)
(2, 2)
(2, 4)
(3, 4)
(3, 7)
(4, 2)
(4, 11)
(5, 9)
(5, 11)
(6, 3)
(6, 9)
(7, 1)
(7, 3)
(8, 1)
(8, 10)
(9, 5)
(9, 8)
(10, 8)
(10, 10)
(11, 5)
(11, 6)
